name,short_name,type,street,house_number,postcode,town,lat,lon,name_de,name_fr,name_it,ror_id,wikidata_id,coara_signatory,dora_signatory,coara_member,grid_id,isni_id,crossref_funder_id,geonames_id,swissuniversities_id,swissuniversities_name,openalex_primary_id,openalex_ids,openorgs_ids
Swiss Federal Institute of Technology Lausanne,EPFL,University,Route Cantonale,,1015.0,Lausanne,46.5191,6.5668,ETH Lausanne,École Polytechnique Fédérale de Lausanne,Politecnico federale di Losanna,https://ror.org/02s376052,Q262760,Yes,Yes,Yes,grid.5333.6,0000 0001 2183 9049,501100001703.0,2659994.0,EPFL,Ecole polytechnique fédérale de Lausanne EPFL,I5124864,I4210100659|I4210122261|I4210129591|I4210132519|I4210140175|I5124864|I7495430,openorgs____::a9607f7a6966af7cc6fa87bf4ab44952
Swiss Federal Institute of Technology Zurich,ETHZ,University,Rämistrasse,101.0,8092.0,Zurich,47.3763,8.5477,Eidgenössische Technische Hochschule Zürich,École Polytechnique Fédérale de Zurich,Politecnico Federale di Zurigo,https://ror.org/05a28rw58,Q11942,Yes,Yes,Yes,grid.5801.c,0000 0001 2156 2780,501100003006.0,2657896.0,ETHZ,Eidgenössische Technische Hochschule Zürich ETH,I35440088,I35440088|I4210090941|I4210122261|I4210127086,openorgs____::fb1e14f93f04d43e1a10a9f17d12c669
University of Basel,UNIBAS,University,Petersplatz,1.0,4001.0,Basel,47.5584,7.5834,Universität Basel,Université de Bâle,Università di Basilea,https://ror.org/02s6k3f65,Q372608,No,Yes,No,grid.6612.3,0000 0004 1937 0642,100008375.0,2661604.0,UNIBAS,Universität Basel,I1850255,I158937107|I1850255|I2802542264|I4210126115|I4210166749|I860889466,openorgs____::a5124687d06ee9348a73a7dcfba96ec7
University of Bern,UniBE,University,Hochschulstrasse,6.0,3012.0,Bern,46.9505,7.4381,Universität Bern,Université de Berne,Università di Berna,https://ror.org/02k7v4d05,Q659080,No,Yes,No,grid.5734.5,0000 0001 0726 5157,100009068.0,2661552.0,UNIBE,Universität Bern UniBE,I118564535,I118564535|I2801112126|I4210087665,openorgs____::c44c357053f9488a7e9351919e3256d8
University of Fribourg,UniFr,University,Avenue de l'Europe,20.0,1700.0,Fribourg,46.8065,7.1523,Universität Freiburg,Université de Fribourg,Università di Friburgo,https://ror.org/022fs9h90,Q36188,Yes,Yes,Yes,grid.8534.a,0000 0004 0478 1713,501100005869.0,2660718.0,UNIFR,Université de Fribourg Unifr,I154338468,I154338468|I4210093738|I4210110454,openorgs____::a970905f03ef017f062a62f76a44eafe
University of Geneva,UNIGE,University,Rue de Candolle,5.0,1211.0,Geneva,46.2017,6.143,Universität Genf,Université de Genève,Università di Ginevra,https://ror.org/01swzsf04,Q503473,Yes,Yes,No,grid.8591.5,0000 0001 2175 2154,501100006389.0,2660646.0,UNIGE,Université de Genève UNIGE,I114457229,I114457229|I4210106256|I4210129591|I4210149244|I7495430,openorgs____::322ff2a6524820640bc5d1311871585e
University of Lausanne,UNIL,University,Unicentre,,1015.0,Lausanne,46.5213,6.5743,Universität Lausanne,Université de Lausanne,Università di Losanna,https://ror.org/019whta54,Q658975,Yes,Yes,No,grid.9851.5,0000 0001 2165 4204,501100006390.0,2659994.0,UNIL,Université de Lausanne UNIL,I97565354,I2802229882|I4210100035|I4210100659|I4210101498|I4210135124|I4210149244|I97565354,openorgs____::6dacb3b5d6bc9287ec407c403929f488
University of Lucerne,UniLu,University,Frohburgstrasse,3.0,6002.0,Lucerne,47.0494,8.3105,Universität Luzern,Université de Lucerne,Università di Lucerna,https://ror.org/00kgrkn83,Q673308,No,Yes,No,grid.449852.6,0000 0001 1456 7938,,2659811.0,UNILU,Universität Luzern Unilu,I161941770,I161941770,openorgs____::36df4ef897800ca581e8ee70a80b4569
University of Neuchâtel,UniNE,University,Avenue du Premier-Mars,26.0,2000.0,Neuchâtel,46.9936,6.9387,Universität Neuenburg,Université de Neuchâtel,Università di Neuchâtel,https://ror.org/00vasag41,Q541548,No,Yes,No,grid.10711.36,0000 0001 2297 7718,501100005353.0,2659496.0,UNINE,Université de Neuchâtel UniNE,I57825437,I4210126212|I57825437,openorgs____::f4addb1b54e611d8ad15c059fa3c3344
University of St. Gallen,HSG,University,Dufourstrasse,50.0,9000.0,Saint Gallen,47.4316,9.3746,Universität St.Gallen,Université de Saint-Gall,Università di San Gallo,https://ror.org/0561a3s31,Q673354,No,No,No,grid.15775.31,0000 0001 2156 6618,100009572.0,2658822.0,HSG,Universität St. Gallen HSG,I202963720,I202963720,openorgs____::4f2e56e5395e3da2dc801bcd2ef4bbae
University of Zurich,UZH,University,Rämistrasse,71.0,8006.0,Zurich,47.3743,8.5484,Universität Zürich,Université de Zurich,Università di Zurigo,https://ror.org/02crff812,Q206702,Yes,Yes,No,grid.7400.3,0000 0004 1937 0650,501100006447.0,2657896.0,UZH,Universität Zürich UZH,I202697423,I202697423|I4210090941|I4210100468|I4210115727|I4210128593|I4210164351,openorgs____::3514a58d10bfa5be292024c2b7a6ee6c
Università della Svizzera italiana,USI,University,Via Buffi,13.0,6900.0,Lugano,46.0104,8.9582,Universität der italienischen Schweiz,Université de la Suisse italienne,Università della Svizzera italiana,https://ror.org/03c4atk17,Q689617,No,Yes,No,grid.29078.34,0000 0001 2203 2861,,2659836.0,USI,Università della Svizzera italiana USI,I57201433,I2614128279|I57201433,openorgs____::ef025332c8ad7e393d2a6932f765d0d3
