name,short_name,type,town,swissuniversities_name,openalex_ids,openorgs_ids,tobi_findable_dim,tobi_findable_scopus,tobi_findable_wos,tobi_findable_openaire,tobi_findable_openalex,tobi_total_outputs_dim_2012_2022,tobi_total_outputs_scopus_2012_2022,tobi_total_outputs_wos_2012_2022,tobi_total_outputs_openaire_2012_2022,tobi_total_outputs_openalex_2012_2022,tobi_retrieval_date_dim,tobi_retrieval_date_scopus,tobi_retrieval_date_wos,tobi_retrieval_date_openaire,tobi_retrieval_date_openalex
Swiss Federal Institute of Technology Lausanne,EPFL,University,Lausanne,Ecole polytechnique fédérale de Lausanne EPFL,I4210100659|I4210122261|I4210129591|I4210132519|I4210140175|I5124864|I7495430,openorgs____::0000057917|openorgs____::0000071845|openorgs____::0000072945|openorgs____::0000096663|openorgs____::0000097652|openorgs____::0f0744ada95d4305e7b5addb2105973f,Yes,Yes,Yes,Yes,Yes,46681.0,50221.0,46152.0,60339.0,57628.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Swiss Federal Institute of Technology Zurich,ETHZ,University,Zurich,Eidgenössische Technische Hochschule Zürich ETH,I35440088|I4210090941|I4210122261|I4210127086,openorgs____::0000071878|openorgs____::0000097748|openorgs____::0f0744ada95d4305e7b5addb2105973f,Yes,Yes,Yes,Yes,Yes,79732.0,84586.0,78034.0,88736.0,83827.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Basel,UNIBAS,University,Basel,Universität Basel,I158937107|I1850255|I2802542264|I4210126115|I4210166749|I860889466,openorgs____::0000003279|openorgs____::0000004780|openorgs____::0000004962|openorgs____::0000008787|openorgs____::0000071837|openorgs____::0000097873,Yes,Yes,Yes,Yes,Yes,48629.0,37779.0,37174.0,46010.0,50670.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Bern,UniBE,University,Bern,Universität Bern UniBE,I118564535|I2801112126|I4210087665,openorgs____::0000004168|openorgs____::0000073267|openorgs____::0000097739,Yes,Yes,Yes,Yes,Yes,57337.0,50595.0,47300.0,59937.0,60356.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Fribourg,UniFr,University,Fribourg,Université de Fribourg Unifr,I154338468|I4210093738|I4210110454,openorgs____::0000005675|openorgs____::0000067954|openorgs____::0000098195,Yes,Yes,Yes,Yes,Yes,11010.0,9728.0,9645.0,10212.0,13209.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Geneva,UNIGE,University,Geneva,Université de Genève UNIGE,I114457229|I4210106256|I4210129591|I4210149244|I7495430,openorgs____::0000000467|openorgs____::0000071845|openorgs____::0000098203|openorgs____::664fcd1baf49e13486b9515738e6165e,Yes,Yes,Yes,Yes,Yes,54909.0,44842.0,44808.0,66217.0,53490.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Lausanne,UNIL,University,Lausanne,Université de Lausanne UNIL,I2802229882|I4210100035|I4210100659|I4210101498|I4210135124|I4210149244|I97565354,openorgs____::0000072539|openorgs____::0000072945|openorgs____::0000096669|openorgs____::0000098193|openorgs____::0000098313|openorgs____::664fcd1baf49e13486b9515738e6165e,Yes,Yes,Yes,Yes,Yes,40168.0,35356.0,31320.0,38671.0,47105.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Lucerne,UniLu,University,Lucerne,Universität Luzern Unilu,I161941770,openorgs____::0000040003,Yes,Yes,Yes,Yes,Yes,1743.0,1307.0,1381.0,1770.0,3490.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Neuchâtel,UniNE,University,Neuchâtel,Université de Neuchâtel UniNE,I4210126212|I57825437,openorgs____::0000000117|openorgs____::0000072662,Yes,Yes,Yes,Yes,Yes,5159.0,5534.0,5178.0,4413.0,6712.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of St. Gallen,HSG,University,Saint Gallen,Universität St. Gallen HSG,I202963720,openorgs____::0000000522,Yes,Yes,Yes,Yes,Yes,4791.0,4428.0,3797.0,12954.0,10543.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Zurich,UZH,University,Zurich,Universität Zürich UZH,I202697423|I4210090941|I4210100468|I4210115727|I4210128593|I4210164351,openorgs____::0000004466|openorgs____::0000004775|openorgs____::0000071878|openorgs____::0000073409|openorgs____::0000074032|openorgs____::0000097991,Yes,Yes,Yes,Yes,Yes,82997.0,69365.0,64645.0,96834.0,87453.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Università della Svizzera italiana,USI,University,Lugano,Università della Svizzera italiana USI,I2614128279|I57201433,openorgs____::0000002708|openorgs____::0000059721,Yes,Yes,Yes,Yes,Yes,6079.0,6640.0,5935.0,5577.0,8045.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Bern University of Applied Sciences,BFH,UAS,Bern,Berner Fachhochschule BFH,I130692619,openorgs____::0000015426,Yes,Yes,No,Yes,Yes,2459.0,2449.0,,2231.0,3076.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
